objectid,filename,Title,Alternate Title,Subject,Subject (Local),Date,Date Range,Description,Collection,Creator,Publisher,Type,Format,Rights,Submitter,Community,County,State,Medium,Extent,Digitization Information,Date Digitized
aew0001,aew0001.jpg,Ripon College ROTC,,ROTC,,1937-1941,1930-1939; 1940-1949,,Ann Ewing Photograph Collection,Ann Ewing,,Still image,image/jpeg,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address.",Ripon College Archives,Ripon,Fond du Lac,Wisconsin,Photograph,"5""Hx9""W",Scanned as RGB with CanoScan 9000F at 400 dpi,
aew0002,aew0002.jpg,Ripon College Dance,,Dances,,1937-1941,1930-1939; 1940-1949,,Ann Ewing Photograph Collection,Ann Ewing,,Still image,image/jpeg,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address.",Ripon College Archives,Ripon,Fond du Lac,Wisconsin,Photograph,"5 3/4""Hx10""W",Scanned as RGB with CanoScan 9000F at 400 dpi,
aew0003,aew0003.jpg,Basketball game,,Basketball; Basketball courts; Basketball fans,,1937-1941,1930-1939; 1940-1949,,Ann Ewing Photograph Collection,Ann Ewing,,Still image,image/jpeg,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address.",Ripon College Archives,Ripon,Fond du Lac,Wisconsin,Photograph,"6""Hx7 1/2""W",Scanned as RGB with CanoScan 9000F at 600 dpi,
aew0004,aew0004.jpg,Alpha Chi Alpha sorority,,"Sororities, Greek letter",,1937-1941,1930-1939; 1940-1949,,Ann Ewing Photograph Collection,,,Still image,image/jpeg,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address.",Ripon College Archives,Ripon,Fond du Lac,Wisconsin,Photograph,"10""Hx8""W",Scanned as RGB with CanoScan 9000F at 400 dpi,
aew0005,aew0005.jpg,Alpha Chi Alpha sorority,,"Sororities, Greek letter",Lyle House,1937-1941,1930-1939; 1940-1949,,Ann Ewing Photograph Collection,,,Still image,image/jpeg,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address.",Ripon College Archives,Ripon,Fond du Lac,Wisconsin,Photograph,"8""Hx10""W",Scanned as RGB with CanoScan 9000F at 400 dpi,
aew0006,aew0006.jpg,Fraternity event,,Fraternities,,1937-1941,1930-1939; 1940-1949,,Ann Ewing Photograph Collection,Ann Ewing,,Still image,image/jpeg,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address.",Ripon College Archives,Ripon,Fond du Lac,Wisconsin,Photograph,"8""Hx10""W",Scanned as RGB with CanoScan 9000F at 400 dpi,
aew0007,aew0007.jpg,Walk to class in the winter,,College campuses,,1937-1941,1930-1939; 1940-1949,,Ann Ewing Photograph Collection,Ann Ewing,,Still image,image/jpeg,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address.",Ripon College Archives,Ripon,Fond du Lac,Wisconsin,Photograph,"8""Hx10""W",Scanned as RGB with CanoScan 9000F at 400 dpi,
aew0008,aew0008.jpg,Lane Library,,College libraries,Lane Library,1937-1941,1930-1939; 1940-1949,,Ann Ewing Photograph Collection,Ann Ewing,,Still image,image/jpeg,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address.",Ripon College Archives,Ripon,Fond du Lac,Wisconsin,Photograph,"8""Hx10""W",Scanned as RGB with CanoScan 9000F at 400 dpi,
aew0009,aew0009.jpg,Lane Library,,College libraries,Lane Library,1937-1941,1930-1939; 1940-1949,,Ann Ewing Photograph Collection,Ann Ewing,,Still image,image/jpeg,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address.",Ripon College Archives,Ripon,Fond du Lac,Wisconsin,Photograph,"8""Hx10""W",Scanned as RGB with CanoScan 9000F at 400 dpi,
aew0010,aew0010.jpg,Lane Library,,College libraries,Lane Library,1937-1941,1930-1939; 1940-1949,,Ann Ewing Photograph Collection,Ann Ewing,,Still image,image/jpeg,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address.",Ripon College Archives,Ripon,Fond du Lac,Wisconsin,Photograph,"8""Hx10""W",Scanned as RGB with CanoScan 9000F at 400 dpi,
