objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
aew0001,aew0001.jpg,,,Ripon College ROTC,Ann Ewing,1937-1941,,ROTC,,46.725562,-117.009633,Ann Ewing Photograph Collection,,Image;StillImage,image/jpeg,eng,Ripon College,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address."
aew0002,aew0002.jpg,,,Ripon College Dance,Ann Ewing,1937-1941,,Dances,,,,Ann Ewing Photograph Collection,,Image;StillImage,image/jpeg,eng,Ripon College,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address."
aew0003,aew0003.jpg,,,Basketball game,Ann Ewing,1937-1941,,Basketball; Basketball courts; Basketball fans,,,,Ann Ewing Photograph Collection,,Image;StillImage,image/jpeg,eng,Ripon College,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address."
aew0004,aew0004.jpg,,,Alpha Chi Alpha sorority,Ann Ewing,1937-1941,,"Sororities, Greek letter",,,,Ann Ewing Photograph Collection,,Image;StillImage,image/jpeg,eng,Ripon College,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address."
aew0005,aew0005.jpg,,,Alpha Chi Alpha sorority,Ann Ewing,1937-1941,,"Sororities, Greek letter",Lyle House,,,Ann Ewing Photograph Collection,,Image;StillImage,image/jpeg,eng,Ripon College,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address."
aew0006,aew0006.jpg,,,Fraternity event,Ann Ewing,1937-1941,,Fraternities,,,,Ann Ewing Photograph Collection,,Image;StillImage,image/jpeg,eng,Ripon College,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address."
aew0007,aew0007.jpg,,,Walk to class in the winter,Ann Ewing,1937-1941,,College campuses,,,,Ann Ewing Photograph Collection,,Image;StillImage,image/jpeg,eng,Ripon College,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address."
aew0008,aew0008.jpg,,,Lane Library,Ann Ewing,1937-1941,,College libraries,Lane Library,,,Ann Ewing Photograph Collection,,Image;StillImage,image/jpeg,eng,Ripon College,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address."
aew0009,aew0009.jpg,,,Lane Library,Ann Ewing,1937-1941,,College libraries,Lane Library,,,Ann Ewing Photograph Collection,,Image;StillImage,image/jpeg,eng,Ripon College,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address."
aew0010,aew0010.jpg,,,Lane Library,Ann Ewing,1937-1941,,College libraries,Lane Library,,,Ann Ewing Photograph Collection,,Image;StillImage,image/jpeg,eng,Ripon College,"The images in Ripon College’s digital collections may be downloaded and printed by individuals for personal use, research or teaching purposes, or other ""fair use"" as defined by U.S. Copyright Law. Please credit ""Ripon College Archives."" Copyright questions may be directed to the Archives in writing to: Ripon College Archives, 300 Seward St. PO Box 248, Ripon, WI 54971. Commercial use is prohibited without permission. All commercial rights are held by Ripon College. For commercial use permission, contact the Ripon College Archives at the above address."
